AA-10315,Alex,Avila,"780 Holmes Keys, Flemington, SC 53281",+234-00874524651,Alex.Avila@example.com,1999-01-08,S,M
AA-10375,Allen,Armold,"480 Avila Mount Apt. 566, Lake Stephenville, TN 90319",+234-00702617322,Allen.Armold@example.com,1973-02-12,M,M
AA-10480,Andrew,Allen,"48793 Ryan Passage Apt. 970, North Beth, AL 05378",+234-00252197971,Andrew.Allen@example.com,1995-02-03,M,F
AA-10645,Anna,Andreadi,"53363 Martinez Radial, Kimberlychester, OR 06825",+234-00553449550,Anna.Andreadi@example.com,1977-08-02,M,M
AA-315,Alex,Avila,"23283 Hogan Courts Suite 082, East George, MI 74586",+234-00250191472,Alex.Avila@example.com,1998-11-08,M,M
AA-375,Daniel,Johnson,"23287 Hogan Courts Suite 082, East George, MI 74586",+234-00219602225,Daniel.Johnson@example.com,1973-03-23,S,F
AA-480,Andrew,Allen,"20190 John Squares Apt. 274, South Natalie, NE 63942",+234-00753221592,Andrew.Allen@example.com,1975-12-13,S,F
AA-645,Shannon,Carlson,"23285 Hogan Courts Suite 082, East George, MI 74586",+234-00302674667,Shannon.Carlson@example.com,1993-06-05,S,M
AB-10015,Aaron,Bergman,"259 Marissa Ridge Suite 648, Hartburgh, MI 27219",+234-00661920716,Aaron.Bergman@example.com,1997-03-02,M,M
AB-10060,Adam,Bellavance,"74522 Miller Land, South Mark, MH 61653",+234-00361314705,Adam.Bellavance@example.com,1997-06-06,NULL,F
AB-10105,Adrian,Barton,"2475 Hall Parkway, New Ashleyport, OR 54466",+234-00257444273,Adrian.Barton@example.com,1991-02-11,S,F
AB-10150,Aimee,Bixby,"048 Brian Ridges Apt. 138, West Kimshire, TN 01413",+234-00619262291,Aimee.Bixby@example.com,1992-03-03,S,M
AB-10165,Alan,Barnes,"54893 Emily Trace Apt. 383, Port Jennifer, NV 85530",+234-00557960642,Alan.Barnes@example.com,1974-10-08,M,M
AB-10255,Alejandro,Ballentine,"8656 Larsen Canyon, Harrismouth, TX 95929",+234-00224195817,Alejandro.Ballentine@example.com,1974-10-04,S,F
